,SEM 1 KT,SEM 2 SGPA,SEM 2 KT,SEM 4 SGPA,SEM 5 SGPA,SEM 6 SGPA,SEM 7 SGPA,SEM 8 SGPA,Label,Hour_per_week_wriassignment,time_to_reach college,Average attendence,Internet at home,2 hr straight lecture,submission on time,"Five lecture straight,woulf you attend all?","Five hr practical staight,do you attend all",Feedback of teacher,preffered transportatin to college,Enrolled to coaching class
235,1,4.9,2,3.5,4.9,4.12,3.4,3.68,2,2,2,1,1,0,1,0,0,4,1,0
232,2,3.9,1,4.8,3.21,3.58,3.21,3.47,2,2,0,4,1,0,1,0,0,25,2,0
44,0,7.3,0,7.1,7.2,7.1,7.7,7.5,1,1,2,1,1,1,0,0,1,26,2,0
170,1,4.44,2,4.35,4.97,4.44,4.54,3.87,2,2,0,4,1,0,0,0,0,2,2,0
140,0,6.2,0,6.5,6.5,6.8,6.4,6.7,1,1,0,0,1,1,1,1,1,9,2,1
218,3,4.2,2,3.1,3.98,3.9,3.98,3.54,2,2,1,4,1,0,0,0,0,4,1,0
56,0,6.81,0,8.1,7.9,7.6,7.5,8.0,1,3,2,3,1,1,1,1,0,20,1,0
162,2,4.5,2,4.8,4.76,4.98,4.76,3.86,2,2,1,0,1,0,1,0,0,18,2,0
84,0,9.62,0,9.4,9.2,9.3,9.5,9.1,1,2,2,3,1,0,1,1,1,26,1,0
240,1,3.5,1,3.9,4.85,3.66,3.5,3.01,2,2,0,4,1,0,1,0,0,2,2,1
103,0,8.56,0,7.6,8.2,6.9,9.34,6.0,1,0,2,3,1,1,1,0,0,23,1,0
155,0,6.81,0,7.86,7.77,7.3,8.0,8.1,1,2,0,1,1,0,1,1,0,11,0,0
41,0,8.26,0,8.5,8.6,8.1,8.2,8.8,1,2,0,2,0,0,1,1,1,20,2,0
20,1,5.2,1,5.9,5.8,5.9,5.7,6.0,1,0,0,3,1,1,1,1,1,6,1,0
32,2,5.85,1,6.0,6.1,6.2,6.15,5.9,1,0,0,1,1,1,1,1,1,20,2,0
110,0,5.8,2,6.3,7.6,6.9,6.3,7.6,1,0,2,4,1,1,1,0,1,11,2,0
206,4,3.95,1,3.7,3.06,4.2,3.06,4.21,2,2,0,4,1,0,1,0,0,5,2,0
226,1,4.2,1,3.7,3.46,3.59,3.46,4.99,2,2,2,0,1,0,1,0,0,4,2,1
22,0,9.69,0,8.9,8.7,9.2,9.1,9.4,1,1,2,3,1,0,1,1,0,12,0,0
258,1,4.9,1,3.7,3.52,4.55,3.5,3.8,2,2,2,4,1,0,0,0,0,16,2,0
